,GSM77082,GSM77083,GSM78821,GSM78822,GSM78823,GSM78824,GSM78825,GSM78826,GSM78827,GSM78828,GSM78829,GSM78830
1449991_at,17.5,24.5,20.8,9.5,30.6,33,1.7,5.8,4,0.9,2.3,0.6
1449992_at,13.3,5.3,20.8,39,8.8,3.6,12.1,3.8,3.9,4.2,14.2,5.3
1449993_at,28.3,37.8,18.9,5.5,28.9,32.7,12.6,14,30.8,11.6,7,8.7
1449994_at,57.5,62.3,9.7,13.4,56,42.9,7.4,9.1,38.9,1.6,0.7,0.9
1449995_at,5.2,5,1.1,1.4,4.6,1.6,1,1,3.7,0.8,1,0.8
1449996_a_at,92.6,40.5,67.7,71.8,293.1,304.5,164.7,195.9,136.4,205.5,170.1,161.9
1449997_at,83,39,72.7,68.5,113.1,77,19.2,53.1,130,167.7,126.2,108.1
1449998_at,29.1,20,6.9,3.2,29.2,43.8,5,2.8,12,10.2,1.3,10.6
1449999_a_at,83.9,185.5,19.6,47.2,83.6,120.9,23.5,9,244.7,51.1,116.1,19.8
1450000_at,4.5,7.2,10.4,3.5,41.7,14,1.8,8.5,3.9,6.1,1.7,1.4
1450001_a_at,7.5,16,1.6,12.8,3.2,8.3,6.6,3.2,34,21.9,13.2,5.4
1450002_at,27.7,68.6,3.6,4.3,6.1,14.5,2.6,3.3,13.4,2.7,1.1,5.6
1450003_at,19.5,12.4,1.6,1.9,2.3,5.7,0.9,1.5,52.6,2.2,2.1,1.8
1450004_at,22,8,4.6,7.5,2.9,19.9,3.9,8.4,223.2,78.3,49.6,135.8
1450005_x_at,109.9,81.2,18.3,25.8,397.3,389.3,134.1,144.9,81.4,24.2,19.1,22
1450006_at,243.3,156.4,97,196.3,261.1,363.5,99.2,104.7,364.2,190.7,100.8,188.9
1450007_at,87.6,59.3,18.7,40.8,44,68,12,12.8,85.5,18.6,19.3,24
1450008_a_at,687.3,535.4,209.5,446.5,1123.4,1523.9,459.1,530.6,1255.3,706.7,538.6,569.5
1450009_at,679.3,139.3,35.3,20.8,22.7,13.4,8.9,1.5,93.7,24.5,11.6,6.3
1450010_at,190.6,274.7,89.9,128.7,797.2,1294.8,334.1,423,446,196,139,174.4
1450011_at,1043.1,893.7,475.4,642.3,3390.7,4591.6,1591.2,2099.8,1895.7,1132.2,806.4,942.9
1450012_x_at,1020.6,1040.8,271.4,329.7,2225.1,2508.1,676.2,797.8,1341.4,578.6,423.7,425.6
1450013_at,1052.2,670.6,415.6,401.6,1257.3,1198.7,321.3,414.2,383.4,212.4,174.1,196.3
1450014_at,22.5,7,11.6,8.6,36.5,23.7,10.3,7.6,40.7,20.6,18.6,15.4
1450015_x_at,96.2,128.7,36.8,33.9,120.1,121.1,16.3,32.8,91.2,55.5,15.5,40.3
1450016_at,121.9,102,44.6,60.8,1283.8,1936.6,382.5,522.2,235.3,162.7,139.9,89.1
1450017_at,86.7,73.1,39,50.9,1068.3,2038.1,290.5,269.6,297.2,132.1,78.4,87.4
1450018_s_at,426.9,395.3,88.7,83.5,401.2,665.2,81.3,78.2,341.6,61.5,31.3,44.6
1450019_at,2.9,5.2,2.5,16.1,33.1,10.3,1.5,15.9,6.9,7.6,1.9,1.4
1450020_at,53.6,43.4,13.8,3.5,20.1,32.2,6.1,3.5,37.3,2.9,8.6,1.9
1450021_at,1225.4,916.2,614.1,691,1273.9,1364.3,459.3,610.8,1270.2,607.7,382.1,396.7
1450022_at,73,19.8,12.5,19.6,64.5,66.9,28.1,28.4,75.4,37.7,24.8,28.1
1450023_at,285.8,374.5,70.1,109.2,319.1,359.8,129.2,144.2,348.4,133.6,113.9,127.1
1450024_at,296.4,280.5,128,171.8,324.8,266.8,118.4,133.9,453.4,154.4,111.1,191.4
1450025_at,5,33.5,3.4,12.7,4.5,24.5,3.3,1.9,27.4,16.7,2.3,8.9
1450026_a_at,194.8,153.9,84,101.9,99.7,174,53.6,48.1,989.6,613.2,351.2,693.9
1450027_at,513.7,493.9,168.1,214.4,1610.7,1961,803.3,1007.4,951,423.5,351.8,493.4
1450028_a_at,614.7,638.8,402.2,540.6,1227.8,1020,441.3,635.8,908.4,659.3,506.9,628.8
1450029_s_at,7.5,5.7,2,3.2,4.7,28.4,1.1,2.1,315.4,61.7,30.9,34
1450030_at,38.8,46.2,15.1,37.1,60.2,91.5,25,39.5,71.9,36.2,23.2,37
1450031_at,1574.5,1348.8,533.8,541.8,988.3,1143.8,266.8,327.8,1229.3,536.9,415.5,565.9
1450032_at,84,58.3,26.6,13.9,4,5.7,2.1,13.9,64.5,4,7.9,8.8
1450033_a_at,127,109.7,40.7,85.5,46.5,51.4,19.7,23.2,249.8,117.3,114.8,169.2
1450034_at,230.4,111,109.5,134.3,108,82.2,16.4,24.8,336.3,260.7,201.9,258.9
1450035_a_at,77.3,329.3,23.9,46.9,65.5,277.2,49.3,25.1,128.8,14.8,32.6,7
1450036_at,77.5,53.2,86.2,74.1,122.3,167.4,51.8,74.7,271.7,92.1,90.2,91.7
1450037_at,6.1,8.6,7.2,6.5,12.7,19.4,0.3,0.9,10.8,0.7,1.6,1.2
1450038_s_at,21.9,37.5,8.7,16.4,34.5,60.1,6.3,12,45.6,15.8,14.8,18.4
1450039_at,243.4,158.6,112.6,143.5,119.9,211.2,78.1,102.6,144.4,106.3,55.7,113.6
1450040_at,1376.7,1393.2,218.8,352.3,800.6,880.7,96,115.7,5251.1,1540.2,1421.9,1335.9
1450041_a_at,34.6,31.7,12.4,8.9,34.7,41.1,9.7,7.4,30.4,5.8,6.3,10.4
1450042_at,3.9,4.6,1.1,2.3,65.3,58.3,0.4,1.9,3.6,1.5,0.9,1.7
1450043_at,4.2,3.6,2,8.5,3.9,4,9.8,9.8,3.8,9,3.8,10.6
1450044_at,196.9,132.6,77.4,124.7,308.9,449.5,137,112,842.9,374.8,302.6,371.4
1450045_at,231.4,499.5,55.1,51.2,142.8,113.3,25.9,17.6,195.3,30.1,25.4,27.7
1450046_at,37.8,43,15.3,11.2,24.3,17.1,2.4,9.8,22.8,1.8,12.1,1
