,GSM77082,GSM77083,GSM78821,GSM78822,GSM78823,GSM78824,GSM78825,GSM78826,GSM78827,GSM78828,GSM78829,GSM78830
1415670_at,659.5,548,318.9,453.3,1506.4,1760.6,519.1,591.2,1438.8,756.9,580.9,746.1
1415671_at,971.4,646.2,258,415.3,1154,1495,374.7,495,1762.2,889.8,740,925.2
1415672_at,1931.3,1129,896.2,1220.5,2405.5,2837.2,877.7,1147.4,2710.1,1521.6,962.3,1322.7
1415673_at,90,107,47.7,92.8,1360.9,966.1,481.2,499.2,189,123.9,110.7,144.1
1415674_a_at,575.4,406.9,174.6,321.6,1261.5,1398,513.4,504.9,687.6,424.2,346.4,475.5
1415675_at,545.9,440,138.9,195.9,502.7,616.2,157.9,204.9,640.2,256.5,230.7,286.2
1415676_a_at,1586,1113.3,688.3,1021.9,5143.3,5613.9,4353.9,4667.7,2054.1,1854.8,1506.2,1657
1415677_at,134.2,87.4,73.5,100.8,350.3,313.5,107.5,138.5,279.8,278.9,178.6,253.4
1415678_at,2274,1589.3,932.4,1116.4,2062.1,2723.8,1138.2,1398.6,2163.4,1581.2,1253.5,1633.2
1415679_at,2622.5,1225.4,983.1,1123.5,2898,3643.7,1123.1,1304.8,4328.3,1418.1,1528.8,1586.1
1415680_at,473.1,612.3,359.9,290.6,1484.3,1687.7,587.2,612.5,762.4,377.3,349.2,437.3
1415681_at,228.1,112.4,74.3,135.6,905.2,953.5,553.2,590.7,450.8,248.6,204.2,247.9
1415682_at,329,264.7,114.8,155.6,573.8,666,147.7,239.7,321.3,123.5,82.7,96.2
1415683_at,2289,1579.3,872.4,1213.4,3857.5,4185.3,1646.8,1754.2,1573.8,820.3,699.5,789.4
1415684_at,277.6,121.5,90.9,148,369.8,282.6,118.6,122.4,291.2,155.1,121.7,191.3
1415685_at,253.4,274,155.2,181.8,500.9,567,204.2,225.7,313.5,148.9,110.1,126.4
1415686_at,904.1,453.6,577.6,588.2,1144.5,1684.3,367.4,444.2,1552.5,648.2,369.3,593.8
1415687_a_at,3607.8,3089.4,2223.6,2135.9,2969.9,3946.4,1083.1,1408.9,7568.4,4339.7,3159.3,4716.2
1415688_at,1566.2,1257.9,648.8,784.2,1631.7,2024.8,720,800,1876.2,1135.5,841.4,1216.1
1415689_s_at,647.9,480.3,430.1,517.6,658.3,575.3,189.3,239.9,1103.1,564.3,361.2,441.2
1415690_at,1147.5,673.8,293.2,535.3,1997.9,2038.9,919.9,1075.5,1474.5,831.4,906.2,1069.3
1415691_at,908.5,709,352.8,449.2,2174,2160.6,502.4,774,1831.8,1079.3,838,902.7
1415692_s_at,2888.8,2410.9,1926.1,1921.7,3744.9,4350.2,2101.6,3044.6,3208.6,2266.5,1602.8,2049.3
1415693_at,583.5,511.8,237.3,316,754.9,908.9,265,360.2,1510,583.8,461.1,643.2
1415694_at,310.2,368.1,103.4,115,689.5,723.1,209.6,273.2,612.7,242.4,222.9,267.3
1415695_at,707.5,808.7,468.7,588.7,2581.2,2625,1900,2408.6,1013.9,797.1,646.5,750
1415696_at,4484,4032.1,1314.2,1670.7,3706.5,4138.9,1101.3,1368.4,6299.1,3539.7,2881.7,3451.4
1415697_at,723.5,679.9,217.6,252.7,1705.3,1558.4,452.6,577.2,624.8,210.6,213.8,248.7
1415698_at,167.1,155.3,71.7,95.3,648.9,785.7,265.7,306.4,548.1,232.3,199.9,245.3
1415699_a_at,1597.8,1308.3,1320.4,1397.2,2712.1,3147.3,1933,2531,1534.2,1389.2,1205.2,1517.1
1415700_a_at,3209.6,2521.6,1425,2056.9,4742.5,5375,2170.6,1755.7,5200.1,2944.2,2492.9,2860.6
1415701_x_at,14777.1,14642.9,13586.6,16482.5,12861.5,12718.1,13824.3,14883.6,11603.6,10107.3,11057.4,12486.7
1415702_a_at,2172.4,1802.5,963.5,1057.1,3427,3044.5,941,1345.1,2528.3,1083.1,947.4,1107.6
1415703_at,1101.6,1217.7,354.7,444.5,1396.7,1410.8,325,436.5,771.8,303.9,247.8,305.2
1415704_a_at,1852.6,1596.2,565.5,721.5,5765.7,6232.8,3689.1,4303.3,1727.2,986.4,876.6,983.7
1415705_at,906.2,535.6,331.4,373.3,601.8,697.4,174.6,212.2,957.4,407.1,248.8,389.3
1415706_at,3550.6,3862.1,1436.1,1973.8,3794,3866.5,1092.3,1416.8,5376.7,2773.7,2297.2,2804.7
1415707_at,1088.2,1043.3,488.8,765.7,1009.8,1335,546.9,720.7,1923.1,1026.4,859.2,1054.2
1415708_at,1319.7,903.7,617.4,682,1070.9,1272.3,332.7,504.5,1834.1,611,460.9,756.9
1415709_s_at,405.6,423.6,208.3,160.2,421.4,441,133.3,151,530.2,187.9,199.6,230.5
1415710_at,349,379.1,117.1,148.4,650.6,727.9,190.5,248,506.5,189.3,175.5,193.3
1415711_at,475.2,517.9,272.5,356.3,1090.4,1439.4,403.3,549.1,982.7,412.8,327.4,449.9
1415712_at,1095.9,654.3,456.9,505.7,211.1,163.8,67,97,283,157.8,115.9,139.5
1415713_a_at,468.7,381,271.3,313.6,591.8,754.2,380.6,525.9,589.7,329.1,243,280.1
1415714_a_at,1090.8,509.3,176.8,331.4,2896.8,1676.8,319.9,414.6,1273.7,248,221.2,254.6
1415715_at,194.2,138.2,72.9,101.1,474.7,652.5,167.9,215.2,542.6,210.9,192.6,232.5
1415716_a_at,10011.4,9862.7,6007.4,7150.9,8080.5,7155.4,4656.9,5783.7,5145.9,3260.5,3616.8,4095.1
1415717_at,464.6,401.2,216.2,231.6,502,489.8,99.7,118.7,571,160.7,143.7,197
1415718_at,593.7,656.5,183.6,230.3,620.8,770,248.7,359.8,1013.4,416.6,397.7,469.8
1415719_s_at,599,245.2,251.6,290.3,1255.8,1242.4,758.1,781.4,583.2,509.6,405,601.7
1415720_s_at,198.6,235.3,81,90,352.6,451.8,199.3,239.1,260,144.3,131.3,140.1
1415721_a_at,378.6,284.4,113.4,162.6,392,484.2,100.9,124.5,736.6,176.6,205.7,248.5
1415722_a_at,416.6,291,265.3,306.3,1150.8,1304.7,423.6,517.8,827.6,455.7,368.9,456.5
1415723_at,5523,4852.6,2745.6,2763.5,4243.5,4612.1,2021.2,2361.4,3579.3,1784.9,1596.3,1719.2
1415724_a_at,1936.6,1752.4,1085.5,1116.8,2187.8,2477.5,753.5,943.1,3014.4,1673.8,1305,1460.7
1415725_at,217.6,162.7,76.3,135.7,811.9,843,304.4,386.1,185.9,104.1,86.1,110.3
1415726_at,1171.8,1146.3,480.9,584.6,1458.8,2021.2,421.2,498.9,1399.7,410.9,360.1,399.6
1415727_at,1272.8,1023.2,487.6,676.2,1210.1,1528.6,621.2,938,1826.9,1505.3,1224.2,1487.4
1415728_at,421.5,513.1,42.8,63.2,430.1,460.7,66.6,71.8,322,45.9,40.1,43.1
1415729_at,235.3,394.6,121,64,137.5,354.9,71.9,83.2,446.8,92.6,84.4,68.6
1415730_at,789.5,1000.5,555.5,625.1,815.6,780.3,397.6,414.7,908.3,421.7,368.4,401.8
1415731_at,206.1,155.6,62.3,94.5,167.7,265.7,54.3,61.2,209.9,67.9,67.2,63.4
1415732_at,1288.2,967.7,294.5,499.1,607.9,653.4,210.7,232.2,1704.6,516.5,596.4,745.7
1415733_a_at,954.3,757.4,235.5,316.7,2154.8,2385.8,823.7,687.3,1178.7,358.5,382.8,349.6
1415734_at,3777.3,3031.8,1947.1,1796.5,4305.9,4368.9,1214.7,1545.8,4264.5,2195.8,1606.1,2352.6
1415735_at,1271.6,983.6,644.8,633.6,3183.9,3567.9,1430.7,2050.1,1365.3,874.6,945.1,1327.8
1415736_at,780.7,513.8,201.4,281.7,656.6,627,171.2,176.6,600.7,166.4,160.5,193.3
1415737_at,693.9,396.3,452.9,461.6,538.8,532.9,193.7,256.2,800.2,535.6,463.7,471.8
1415738_at,291.2,273,108.8,153.2,404.6,532.3,90.6,119.1,633.6,216.8,187.1,264.7
1415739_at,645.1,551.2,310.2,550.6,939.5,993.5,533.8,577.6,1089.1,687.6,607.8,732.1
1415740_at,484.3,461.5,189.9,351.6,2747.6,2231.9,1262.7,1840.2,806.7,756.5,542.3,521.1
1415741_at,941.9,866.6,855.8,971.6,1549.2,1890.7,776.4,1159.6,2163.3,1471.1,1102.9,1378
1415742_at,334.4,215.6,169.8,204.9,566.5,702.4,311.1,409,371.9,258.2,219.8,322.2
1415743_at,574.7,521.3,175.1,221.8,471.2,404.5,280.8,273.2,620.2,430.8,391.1,447.3
1415744_at,914.1,693.8,349.2,542.8,1624.3,1579.6,1044.7,1507.6,608,604.9,392.6,479.8
1415745_a_at,419.1,250,245,270.8,1207.9,1113.4,458.5,391.8,987.9,726.7,457.1,638.4
1415746_at,601.2,710.3,210.8,241.6,491.1,384,137.5,144.3,1006.2,107,151,263.9
1415747_s_at,2225.1,1451.6,739.1,800,1740.3,1827.3,475,495.8,1967.9,939.5,778.6,620
1415748_a_at,275.4,295,119.8,142.5,376,586.9,168.9,212.5,603.7,270.3,180.9,207.8
1415749_a_at,1266.3,790.2,691.1,854.7,1491.7,2332.7,790.2,733.9,1753.6,1084.5,835.8,1044.4
1415750_at,184.4,157,109,148.4,563.7,624.8,370.5,428.5,159.8,109.6,98,113.2
1415751_at,2146.6,1090,1427.2,1486.4,1678,1902.3,658.3,686.4,2739.3,1402.4,1022.8,1233.1
1415752_at,1581.2,944.3,510.3,673.6,2002.8,2213.6,675.7,807.8,2315.4,1148.9,990.2,1129
1415753_at,443.5,359.3,175.6,257.1,740,719.9,410.9,499.4,782.4,374.2,452.1,586.8
1415754_at,814.1,648,410.2,604.9,1424.2,1427,1003.2,1122.4,780,583.2,547.9,620.2
1415755_a_at,1512.8,1221.3,730,786.2,2068.4,1999.5,828.3,1073.3,1659,839.7,748,954.7
1415756_a_at,596.5,483.1,306.8,347.8,560.2,633.4,153.2,169.4,1098.6,649.6,442.1,660
1415757_at,364.9,420.5,113,194.9,393.1,386.1,95.5,92.3,498.1,102.5,110,183.1
1415758_at,367.6,302.1,224.2,215.6,467.9,548.3,116.5,142.7,943.1,518.7,415.3,482.4
1415759_a_at,995.2,696.6,263.2,393.7,1636.1,1485.6,494.4,607.5,1108.2,644.3,543.7,674.2
1415760_s_at,766.8,531.4,159.9,434.4,1149.6,1370.5,533.1,676.6,1833.4,1068,888.7,1095.4
1415761_at,368.5,295,77.6,118.8,469.3,540,145.5,177.6,191.5,104.3,96.2,92.7
1415762_x_at,533.5,445.8,105.7,184.9,671.7,673.2,161.6,230.1,362.3,118.7,118.2,135.1
1415763_a_at,1486.5,1147.7,723.1,803.3,1652.3,1475.3,975.8,1260.3,1153,849.2,654.7,943
1415764_at,5185.7,5016.9,3791.2,3375.4,2453.1,3201.2,925.5,1215.3,6117.1,3098,2217.5,3398.4
1415765_at,281.4,290.9,146.8,158.9,447.9,522.1,218.3,251.4,426.4,284.4,198.1,244.3
1415766_at,247.8,256.6,195.8,188.8,263.8,236.1,90,121,513.4,428.2,309.6,491.1
1415767_at,818.9,919.5,376.3,386.6,687.1,1071.5,337.8,360.9,815.6,330.1,279.2,349.6
1415768_a_at,922.5,392.2,155.6,180.9,659.5,987.3,136.2,182,820.7,237.5,218.8,238
1415769_at,409,535.1,248.3,275,450.4,453.4,190.3,194.8,650.9,368.8,331.8,396.4
1415770_at,313.4,354.7,230.8,286.7,492.6,655.8,242,381.2,405.1,250.9,201.1,243.7
1415771_at,5052.7,3404.2,1974.6,2736.5,7368.4,7477,4458.8,6183.6,2038.7,1291.9,944,1091.8
1415772_at,265.8,356.1,134.9,175.8,618.9,700.3,326.6,403,141.6,89.5,66.1,74.8
1415773_at,489.6,307.1,185.9,341.2,973.2,1580.6,517.1,789.1,218.3,95.3,60.2,88.5
1415774_at,39.7,97.7,62.8,111.6,152.7,313.8,85.4,105.7,52.5,58.7,78.7,67.5
1415775_at,4369.2,3155,3579.5,3513,5329.9,5667.5,4107.7,5163.7,3710.1,2581.2,1896.1,2380.1
1415776_at,250.1,172,142.3,181.5,96.7,191.3,68.2,53.6,646.7,427.3,360.4,496
1415777_at,1.7,7.6,3.6,4.3,9.1,2.9,2.4,1,4.8,2.6,3.5,3.5
1415778_at,2701.3,2249.1,1550.1,2337,3852.6,5297.8,1718.7,2059.4,4215.4,2290.3,1564.8,1923
1415779_s_at,12138.8,9174.2,11595.4,12648.9,11532.1,11657.4,10841.1,12915.6,10688.5,8643.3,7547.4,10110
1415780_a_at,2075,2355.4,735.4,867.5,3174.8,3553.9,1074.8,1383.8,2074.1,670.3,589.7,692.1
1415781_a_at,7258.9,6741.4,5363.7,5799.8,8133.2,8081.3,5395.8,6934.1,6838,5472.3,4349.6,5177
1415782_at,3512.7,4544.3,1977.2,2969.6,6963.9,6625.6,4522.5,5567.5,4498.1,2954.8,2603.5,3101.3
1415783_at,1782.7,1235.6,763.2,906.4,3071.5,3253.9,874.2,1063.3,2235.5,859.1,787.7,785.4
1415784_at,61.6,64.4,13.9,28.8,56.2,67.3,31.2,28.7,65.4,19.2,25.7,16.8
1415785_a_at,2052.6,1602.9,788.1,1196,4668.4,4795.3,2875.3,3150,1543.3,806.6,619.1,813.7
1415786_at,9.9,40.9,17.2,4.8,10,19.3,7,15.8,23.1,6.2,13.4,9
1415787_at,641.9,597.8,167.7,281.1,1029.9,1265.1,252.1,294.2,887.1,280.5,238.4,258.1
1415788_at,521.9,372.5,456.8,414.5,1082.2,1306.4,404.2,502.8,828.8,400,281.5,310.2
1415789_a_at,124.3,186,36.9,31.2,430.4,359.8,50.2,34.5,298.6,69.5,34.8,39.5
1415790_at,145.1,294.3,62.3,84,262.4,362.9,111.4,100.9,274.6,116.4,79.3,73.5
1415791_at,561.8,384.3,185.9,305.7,519,649.1,158,177.1,557.6,236.6,207,194.8
1415792_at,444.4,392.7,129.6,181.4,369,445.1,155.4,215.9,761.8,315.3,310.5,424.1
1415793_at,188,80,29.1,50.6,176.4,159.7,54.1,75.9,197.9,97.4,67,60.8
1415794_a_at,586.8,662,463.2,538.5,764.1,827.5,323.2,394.1,808,554.9,429.1,478
1415795_at,129.6,128.9,42.5,64,100.7,114.5,58.1,77.2,120.2,53.6,34.1,72.5
1415796_at,2972.7,1645.8,1461.4,1589.8,2290.7,2071.6,960.6,1202.2,2826.3,1925.6,1520.9,1828.6
1415797_at,257.8,218.1,62.1,86.9,473.5,291.5,130.1,156.2,91,13.9,21.5,25.6
1415798_at,47.8,74.1,27.1,32.1,130.2,102.5,38.5,49.3,26.4,4.4,4.5,2.1
1415799_at,539.3,762.7,283.6,369.8,1907.6,1934.7,860.2,876.3,756.1,204.3,180.4,205.6
1415800_at,349.1,241.8,156.8,134.7,736.8,1159.4,308.5,386.4,2456.2,978.9,674.9,1220
1415801_at,21,40.7,10.8,25.8,62.4,107.2,27.4,36.5,205.7,70.8,59.1,77.5
1415802_at,1240.1,1006.5,498.8,709.8,1702.7,2216.6,996.1,1078.5,1211.6,557,406.4,558.5
1415803_at,123.1,117,51.7,62.6,69.6,119.3,17.8,24.5,153.4,39.4,24.8,44.1
1415804_at,18.3,13.8,3.4,5.4,28,16.2,4.4,3.6,16.9,6.5,6.7,5.8
1415805_at,61.4,74.4,14.9,14.2,27.7,16.4,3,16.2,45.2,15.3,15.3,7.4
1415806_at,556.4,470.2,364.4,394.4,82.5,25.5,15.1,12.8,2602.2,1395.7,1175.7,1825.1
1415807_s_at,655.9,293.3,142.3,389.9,601,716.9,370.4,505.9,467.4,191.9,202.5,321.2
1415808_at,3.5,17.9,10.3,9.3,27.2,17,6.6,13.1,3.5,1.1,1.2,0.8
1415809_at,4.3,14,7.3,13,22.3,16.2,1.3,1.2,24.6,8.7,8.1,2.4
1415810_at,41.2,156.1,16.2,24.3,1362,1138.5,447.1,620.7,41.1,18.3,0.9,14.6
1415811_at,4.8,86.1,3.6,2.9,244.2,642,153.8,141.1,8.5,2.2,5.6,0.5
1415812_at,6644.5,3000.7,2679,4162.5,249.8,461,60.3,73.5,13650,13262,12256.5,14167.8
1415813_at,440.4,408.5,252.4,277.8,795.7,978.7,400.1,422.3,613.3,297,249.8,286
1415814_at,452.7,568.5,363.8,356.2,1968.9,2081.3,572.3,738,1332.3,777.4,496.5,733.6
1415815_at,36,53.2,15.6,21.9,20.1,9.4,1,5.5,20.6,8,3,11
1415816_at,2831.5,3760.4,2262.4,2226.2,6787,6506,5763.4,7261.1,1856.2,2261.2,1706.5,2319.5
1415817_s_at,1122.2,883.2,504.7,738.8,3911,3841.2,2412.9,3349.6,919.7,704.6,438.7,695
1415818_at,4009.8,2299.3,1334.2,2397.8,3865.5,4654.6,1892.6,1999,2099.3,1025.1,1030.6,1299.9
1415819_a_at,1339.4,1053.9,527.6,944.6,1736.5,2314.6,835.9,1183.7,1543.6,769.5,683.9,765.2
1415820_x_at,2220.5,1964.5,887.1,1097.9,3606.6,3444.7,1724.9,2232.1,1477.9,718.7,593.2,665.9
1415821_at,1716.1,1493,730.9,956.3,1999.6,2638.5,690.9,966.5,3338.5,1862.5,1248.7,1545.8
1415822_at,4334.7,2669.9,3140.5,3625.3,4434.2,3397.8,1742.3,2113.9,4115.9,3335.9,2660.3,3065.1
1415823_at,332.7,318.4,89.8,142.6,306.5,242.7,59.2,62.2,297.1,140.4,128.8,133.4
1415824_at,64.8,53.4,15.5,35.7,88.4,45.7,12.5,19.6,102.8,25.7,30.9,17.5
1415825_s_at,1641.8,1524,259,382.3,779,996,170.5,177.4,1065,235.7,173.9,251.7
1415826_at,425.3,281.4,237.8,360.3,730.6,1004.5,614.7,507.9,762,665.7,500.1,740.6
1415827_a_at,1831.7,1224.1,939.7,977.2,1974.9,2303.5,1004.3,1286.8,2536.8,1643,1231.3,1557.5
1415828_a_at,620,332.6,164.5,209.1,1403,1503.5,863.5,1134.1,816.5,468.3,393.1,517.2
1415829_at,1273.5,1335.8,654.4,589.6,1908.4,1634.5,772.5,953.9,1110.4,593.9,421.3,481.8
1415830_at,311.6,234.2,125.8,181,769.7,832.4,258.4,284.6,408.1,230.9,148.1,216.1
1415831_at,1931.2,1971.1,953,1184.2,6398.7,6262.9,2788.6,3739.8,2084.4,1650.9,1231.1,1424.4
1415832_at,163.3,178,102.9,81,1.9,8.8,0.9,4.8,62.6,19.4,22.1,14.5
1415833_x_at,11859,9937.5,6588.4,7677.2,11316.7,11127.9,7172.6,8652.7,9634.6,7316,7087.3,6936
1415834_at,309.4,368.7,103.8,103.5,169.7,394.1,49.7,44,638.9,217.7,114.9,198.6
1415835_at,4.1,1,12.4,0.6,8.7,22.6,7.9,11.7,22.7,0.8,6.5,1.8
1415836_at,90.3,93.7,26.7,33.2,457.5,693.1,143.3,135.6,628.6,146.3,126.8,171.2
1415837_at,16.6,6,5.4,6.5,23.4,5.6,0.9,2.7,18.7,29.7,12,8.3
1415838_at,1398.8,738.8,711.3,953.9,1591,2349.1,458.1,541.3,2956.5,1373,1050.3,1153.9
1415839_a_at,6337,2927.8,3699.5,4723,8531.1,8222.3,6219.5,7258.5,3202.5,1843.8,1309.9,1978.8
1415840_at,2376.3,1394.4,863.7,1433,2307.5,2585.9,756.7,918.8,3963.8,2390.8,1342.4,2073.6
1415841_at,625.3,537,524.3,558,1250.4,1515.7,526.4,673.1,1292.3,861.2,574.1,710.8
1415842_at,209,148.3,82.4,101.5,335.7,327.4,95.7,106.9,293,65.6,66,80.3
1415843_at,68.1,55.2,16.6,21.8,79.4,70.7,28.4,36.9,52.2,8.4,15,17
1415844_at,2,1.1,1.1,0.8,3.2,2.9,0.4,0.5,3.3,2.7,3.8,0.6
1415845_at,42.1,22.4,20.1,14.3,27.9,15.5,11.7,19.3,47.4,6.8,14.2,2.6
1415846_a_at,3,4.8,1.2,1.1,10.7,1.4,0.3,3.5,2,3.5,0.5,0.3
1415847_at,10.9,11,11.7,3.2,17.2,41.1,12.7,12.7,7.1,2.2,2.8,11.5
1415848_at,7.4,12.8,4.6,22.8,45,39.1,10.5,6,11.7,19.5,2.2,6
1415849_s_at,1634.5,1489.1,920.2,1130.6,5795.6,6948.4,4121.1,5108.6,1194.8,971,733.5,769.8
1415850_at,640.5,847.6,317.4,449.3,997.6,1279.1,532.8,651.7,563.5,229.6,196.6,235.4
1415851_a_at,6404.1,6222.7,3806.4,3607,5714.7,5856.8,3099.8,4219,2826.4,1387,858.7,1336.4
1415852_at,3517.4,3190.5,1232.3,1614.8,3692.3,3772.4,1841.9,2251.2,1809.1,737.5,588.2,955.6
1415853_at,285.1,134.4,48.9,72.3,158.9,206.9,45.6,77.1,181.2,110.5,101,87.1
1415854_at,18.9,28.6,5.7,23.8,20.8,24.8,4.8,5.2,55.6,22.6,19.9,21
1415855_at,492.1,238.9,261.6,304.4,123,251.8,39.4,47.4,4577.7,2176.3,1750.1,1883.1
1415856_at,378.1,314.5,125.5,138.5,259.5,625.7,228.6,273.2,809,356.1,284.7,452
1415857_at,142.8,153.6,45.8,62.5,169.4,473.2,218.1,271.1,522.7,184.2,118.6,265
1415858_at,1848.2,2962.6,796.2,984.9,3965.6,4183.2,2047.3,2832.5,1723.7,1155.4,834.7,1218.2
1415859_at,590.5,706.4,72.1,214.2,768.6,1735.3,481.7,278.9,714,90.4,186.8,74.8
1415860_at,1022,1199.3,406.3,399.8,5466.2,5217.5,2479.9,3023.7,792.3,400,313.8,330
1415861_at,31.3,16.5,5.1,13,29.7,9.2,8.4,2.5,34.8,20.2,23.4,18
1415862_at,44.8,46.8,6.3,15.4,4.6,29.6,5.9,9.5,52.2,16.1,10.9,14.8
1415863_at,1928.1,2302.4,1240.1,1408.2,3753.4,3500.3,2003.8,2491,2252,1299.3,1116.2,1410.8
1415864_at,55,44,23.6,59.4,109.1,154.9,36.6,67,192.7,182.1,121.7,97.8
1415865_s_at,212.1,110,120.5,136.6,209,336.2,173.2,232.2,355.2,549.2,386.7,320.1
1415866_at,551.6,729.7,156.5,197.6,289,388.7,129.6,188.7,259.9,169.9,120.8,140.3
1415867_at,3369.6,2781.9,2299.7,2432.9,5292.4,6374.6,2876.6,3535.2,2045.7,1867.9,1449.3,1895
1415868_at,3,2.3,0.9,1.3,28.8,58.1,12.2,16,6.2,5.5,0.9,0.8
1415869_a_at,2046.2,2198.9,612.7,817.6,4525.7,4781.2,1687.4,1995.6,2237,618.9,638.2,738.4
1415870_at,2417.4,1869.6,1100.5,1379.9,2602.4,2956.5,1118.4,1387,4668.6,2967.8,2241.8,2838.4
1415871_at,49.7,37.4,30.6,23.6,4.6,1.1,0.4,6,4361,1456.4,1320.6,2012.4
1415872_at,4708.7,3449.8,3080.3,3118.1,3674.8,3513.2,1811.6,2204.6,3845.8,2377.3,1731.9,2125.5
1415873_a_at,791.9,831.8,319.9,422.1,1482.3,1575.2,588.7,785.2,1285.7,835.6,585.9,712.9
1415874_at,5920.9,3714.7,4463.4,4971.5,732.8,558.6,180.3,237.4,3503.8,2296.9,1916.5,2392
1415875_at,27.5,4.2,14.4,8.8,22.5,50.8,13.4,13.8,35.4,7.4,7.6,1.9
1415876_a_at,8062.8,6215.3,4253.1,4911.5,7093.8,6789.1,4198.1,4984.9,5317.3,2324.1,2263.7,2449.9
1415877_at,84.5,91.6,49.4,52.1,1423.4,2330.9,1049,1203.5,1353.3,791.8,555,543.5
1415878_at,438.5,565.5,241.8,251.6,4185.3,4328.5,2133,2572.7,701,321,255.2,277.6
1415879_a_at,13780.2,13176.4,8823.6,11084.2,12744.3,12046.5,8713.8,9680.3,9682.3,6720.5,6328,7567.3
1415880_a_at,3756,2585.5,1576.3,2024.1,5203,5883.2,2056,2874.9,6337.4,4312.3,3414.5,4015
1415881_at,1040.6,747.5,407.2,517.5,1266.1,1551.5,338.2,485.7,1471.3,683.6,400.3,535.7
1415882_at,1165.6,947.6,636.7,845.8,3538.9,3263.2,1451.4,1666.7,1683.4,1254.1,944,1141.3
1415883_a_at,1.8,6.7,2.9,11.5,12.7,3.1,1.2,1,11.4,4.4,5.6,2.2
1415884_at,124.9,205.8,36.7,51.3,108.7,59.5,24.4,23,107.9,28.3,30.8,16.1
1415885_at,4.5,4.4,9.5,3.1,11.3,1.3,5.9,1.6,21.1,7.5,0.8,0.9
1415886_at,99.1,75.7,16,30.7,84.6,61.4,23.4,16.7,403.3,96.5,121.4,151.2
1415887_at,2212.7,1435.6,968.7,1399.4,2983.4,3110.6,1382.2,1847.8,2499.9,1537.2,1187.3,1625.4
1415888_at,1417.6,829.1,194.1,378.9,3357.7,3937.6,932.7,1317.5,890.8,305.4,207.2,194.8
1415889_a_at,1809.9,1549.4,811.8,1108.2,2104.6,2158.9,905.5,1103.3,2687.1,1452.3,1042.7,1237
1415890_at,1345.1,841.3,541.5,668.9,1178.1,1178.5,316.5,318.9,1920.3,742.6,591.7,656.7
1415891_at,739.7,832.2,554,640.6,2600.9,2848,982.6,1318.2,1295.1,860,761.2,735.9
1415892_at,154.4,138.7,69.4,91.2,437.8,699,215.8,284.5,274.7,158.9,111.3,187.1
1415893_at,32.5,2.8,20.9,38.6,79.1,122.7,46.9,63.5,7,28.1,18.5,27.8
1415894_at,311.1,237.6,56.9,93.1,50.4,8,1.2,1.1,507.6,107.3,77.1,91.5
1415895_at,695.3,849.8,374.5,388.5,1533.5,1813.5,300.1,410.5,1918.2,555.3,641.2,511.6
1415896_x_at,118,112.1,182.9,170.4,467.7,978,202.2,292.6,248.3,288.7,354.7,335.6
1415897_a_at,1117.8,520.5,390.9,387.6,144.2,239.1,25.7,38.4,4433.5,1983.8,1671.7,2049.7
1415898_at,17,4.8,4.9,5.6,16.3,6.6,2.2,0.4,32.3,1.4,4.6,7.3
1415899_at,6759.1,6269.6,3425.5,5669.2,470.1,367.7,155.4,171.3,5408.5,864,828.4,2884.6
1415900_a_at,8.4,26.6,18.5,3.3,24.9,23.1,2.2,4.2,5.6,7.7,3.6,2.2
1415901_at,841.4,719.8,178.8,315.7,879.9,947.7,275.9,334.4,1384.5,554.6,472.4,699
1415902_at,9.8,6,3.9,1.8,3.3,3.1,0.9,2.9,12.7,2.5,1.6,2.7
1415903_at,821,586.7,138.3,182.2,1650.6,2216.5,441.8,562.1,300.3,55.5,48.3,39.1
1415904_at,4031.1,3858.5,4340.6,3232.8,1646.5,1089.8,425.2,545.4,10583.3,8139.7,6762.6,8549
1415905_at,62.2,22.9,12.7,25,51,33.2,4.6,6.7,60.4,11.2,16.4,10.6
1415906_at,7353.8,3826.8,4255.3,7148.2,7687.5,7584.8,4373,3958.4,8927.9,7448.2,6631.6,6611
1415907_at,1202.9,675.2,570.1,850.7,2803.8,2408.3,1160,1454.5,1016.3,469,448.1,571.2
1415908_at,439.9,397.8,254.7,226.7,254.3,286,39.4,75.2,414.9,205.6,155.4,131.7
1415909_at,638.5,641.9,213.8,298.2,1073.8,1218.5,708.5,878.8,395.4,228.9,175.4,166.5
1415910_s_at,412.3,215.5,78.4,131.9,1588.3,1700.4,700.6,750.9,367.9,149.5,137.1,177
1415911_at,618.5,511.8,421.9,353.2,670.2,1075.3,195.4,185.6,800.4,360.8,311.7,454.5
1415912_a_at,3146.7,2410.9,440.6,717.6,3760.5,3431.8,962,1211.7,1549.1,388.6,294.3,538.9
1415913_at,375,276.9,151.9,142.9,55.4,94.2,16.8,59.6,158.6,34.2,26.8,58.5
1415914_at,4673.1,3497.6,1615.3,2463.7,6805.1,7034.1,5552,6292.4,3386.7,2383.1,2004,2332.7
1415915_at,1251,1151.7,535.1,823,3407.4,3616.3,1669.2,2171.8,1297.1,914.4,690.2,771.5
1415916_a_at,867,683.7,754.4,746.1,2616.5,2779,1443,1808.1,533.8,380.7,287.7,377.4
1415917_at,433.8,538.5,250.7,299.2,1382.3,1525.8,645.3,871,504.1,195.5,129.6,191.6
1415918_a_at,1198.8,953.4,404.8,635.6,4537.6,5323.9,2757.3,3352.3,2002.1,1898.8,1515.8,1620.6
